Date,Open,High,Low,Close,Volume
11/15/2013,102.8,106.4,102.7,105.75,11827
11/14/2013,103.1,104.45,102.15,102.6,25735
11/13/2013,105.8,106.35,102.5,103.05,20041
11/12/2013,103.5,106,103.25,105.8,33879
11/11/2013,104.1,106.95,103.05,103.25,32463
11/8/2013,103.8,104.7,102.85,104.05,19303
11/7/2013,101.5,105.2,100.95,103.95,28046
11/6/2013,103.5,103.75,101,101.5,17881
11/5/2013,103.7,104.15,102.85,103.45,17575
11/4/2013,105.6,106.2,103.35,103.7,17858
11/1/2013,105.4,106.05,104.25,105.55,13386
10/31/2013,107,107.3,105.25,105.4,16834
10/30/2013,107.05,107.8,106.65,106.85,12072
10/29/2013,106.6,107.85,106.6,106.95,10981
10/28/2013,109,109.2,106.9,107.55,16301
10/25/2013,110.3,111.45,108.8,109.1,15159
10/24/2013,110.5,111.85,109.5,110.3,15490
10/23/2013,111.85,112.5,110.5,110.55,11267
10/22/2013,113.35,113.35,111.85,111.95,8812
10/21/2013,114.4,114.7,112.3,112.7,16114
10/18/2013,114.4,115.1,114.05,114.65,8281
10/17/2013,116.05,116.35,114.25,114.7,9211
10/16/2013,116.5,117.5,115.65,115.85,10839
10/15/2013,117,117.65,115.1,116.45,11788
10/14/2013,116.7,117.5,116.15,117,5812
10/11/2013,114.35,116.95,114.25,116.7,10739
10/10/2013,115.15,117.95,114.15,114.4,22633
10/9/2013,114.75,115.8,114.45,115.25,8035
10/8/2013,114.4,115.35,113.85,115.05,6838
10/7/2013,114.4,114.75,113.5,114.5,5977
10/4/2013,115.15,116,113.9,114.4,6885
10/3/2013,114.45,116.2,114.2,115.35,10385
10/2/2013,114.5,115.5,114.1,114.45,8327
10/1/2013,113.9,114.7,113.2,114.1,10135
9/30/2013,113.65,114.8,113.5,113.7,9718
9/27/2013,115.8,115.9,113.5,113.7,10421
9/26/2013,117.2,117.45,114.8,115.65,12348
9/25/2013,117.5,119.2,117.05,117.25,13324
9/24/2013,117.05,118.4,117,117.85,9011
9/23/2013,114.65,117.45,114.65,117.05,11660
9/20/2013,115.6,115.9,114.2,114.65,7351
9/19/2013,116,116.7,115.3,115.8,11273
9/18/2013,114.95,115.95,113.95,114.9,11128
9/17/2013,118.85,119.2,114.25,114.95,21864
9/16/2013,120,120.75,118.5,119.25,8323
9/13/2013,120.6,121,119.4,120,7258
9/12/2013,120.85,121.05,117.85,120.6,17149
9/11/2013,117.25,121.1,116.7,120.8,21825
9/10/2013,117.85,118.9,115.7,116.65,11862
9/9/2013,117.5,119.05,116.9,118.05,9653
9/6/2013,116.9,118.85,116.9,117.85,9188
9/5/2013,116.75,117.4,115.25,116.85,13363
9/4/2013,117.45,118.5,116.65,116.85,9221
9/3/2013,116.3,119.25,116.2,117.2,12202
8/30/2013,117.4,118.2,116.1,116.3,8977
8/29/2013,118.45,118.8,116.8,117.65,8911
8/28/2013,116.75,118.95,116.65,118.45,8349
8/27/2013,117.05,117.75,116.6,116.75,12546
8/26/2013,118.1,118.9,117.25,117.75,6953
8/23/2013,116.9,117.9,116.35,117.05,7198
8/22/2013,117.15,118,116.35,117.05,9278
8/21/2013,118.85,119.7,117,117.15,20091
8/20/2013,122.45,122.5,118.65,118.8,25702
8/19/2013,123.05,124.25,122.05,122.75,15806
8/16/2013,124.6,125.2,123.05,123.65,11693
8/15/2013,124.8,125.4,122.2,124.7,19724
8/14/2013,123.15,126.8,123.1,125.3,30033
8/13/2013,126.1,126.75,121.5,123,31154
8/12/2013,125.45,127,124.75,126.1,16469
8/9/2013,124.7,126.8,124.05,125.6,18462
8/8/2013,123.75,126.2,123.1,124.8,14625
8/7/2013,120.85,124.2,120.6,123.8,15026
8/6/2013,121.9,122,119.95,120.7,14052
8/5/2013,120.55,123.8,120.55,122.5,8959
8/2/2013,118.65,121.2,118.65,121.05,9783
8/1/2013,121.45,122.1,118.15,118.35,7342
7/31/2013,123.25,123.4,120.3,121.3,8152
7/30/2013,123.5,125,122.6,122.95,7877
7/29/2013,124,125.35,122.1,123.45,5598
7/26/2013,127,128.15,124.15,124.25,9458
7/25/2013,124.35,127.55,123.6,127.3,4860
7/24/2013,128.4,128.95,123.6,123.95,7370
7/23/2013,128.25,129,125.95,128.75,8034
7/22/2013,125.65,128.05,125.25,127.85,6788
7/19/2013,130.15,132.4,124.25,125.15,7881
7/18/2013,129.5,135.8,128.85,129.8,10427
7/17/2013,127.55,131.3,127.45,130.05,7527
7/16/2013,126.05,128.95,125.75,128.25,7729
7/15/2013,122.1,126.65,121.45,125.85,4054
7/12/2013,126.2,127.1,121.5,122.2,6102
7/11/2013,125.1,127.1,125,126.15,5253
7/10/2013,124.9,126.5,124.1,124.5,5461
7/9/2013,125.8,127.7,123.15,125.1,8019
7/8/2013,123.2,126.95,123.1,126.3,5197
7/5/2013,124.4,125.55,123.2,124.25,2594
7/3/2013,127.05,127.05,123.05,124.4,6021
7/2/2013,124.8,127.7,124.75,127.3,3709
7/1/2013,122.75,125.45,122.65,124.65,4343
6/28/2013,125.15,125.6,121.4,123.35,2428
6/27/2013,122,125.75,121.75,124.9,3953
6/26/2013,122.95,124.25,121.15,121.55,6269
6/25/2013,123.2,124.4,121.8,123.5,3644
6/24/2013,122.1,124.15,121.95,123.2,2770
6/21/2013,123.2,125.2,122.25,122.35,3080
6/20/2013,127.25,127.25,120.5,121.5,6023
6/19/2013,127,128.35,126.7,127.6,2508
6/18/2013,126.45,127.8,125.5,126.7,5091
6/17/2013,127.4,128.9,126,126.45,5151
6/14/2013,128.95,129.7,126.9,127.25,4345
6/13/2013,127.6,129.05,126.55,128.75,6121
6/12/2013,132.5,133.3,126.25,127.8,6726
6/11/2013,134,134.15,131.4,132.95,6093
6/10/2013,131.85,134.4,131.4,134.3,2611
6/7/2013,135.1,135.1,131.85,132.45,3189
6/6/2013,133,135.25,132.65,134.75,3818
6/5/2013,132.95,134.8,131.55,133,3192
6/4/2013,134.4,134.4,132.4,133.1,3008
6/3/2013,132.5,134.65,131.15,134.4,3997
5/31/2013,131.6,133.3,130.6,132.6,2318
5/30/2013,132.95,133.3,130.9,131.35,2481
5/29/2013,132.45,133.2,131.25,132.9,2634
5/28/2013,134.4,134.4,131.7,132,3595
5/24/2013,136.6,136.6,132.75,133.1,2453
5/23/2013,134.6,137.25,133.9,135.95,3251
5/22/2013,139.85,139.85,134.25,134.35,4387
5/21/2013,141.25,141.25,137.95,138.5,2974
5/20/2013,142.15,142.3,139.65,140.85,2397
5/17/2013,146.15,146.5,142.35,142.5,1287
12/18/2012,133.5,133.5,133.5,133.5,3
12/17/2012,137.95,138.25,137.95,137.95,2
12/14/2012,136.6,137.4,136.6,137.4,11
12/13/2012,135.25,135.25,135.25,135.25,10
12/12/2012,140.15,141.25,138.15,138.15,10
12/11/2012,141.15,141.15,141.15,141.15,1
12/10/2012,142,142,138.1,138.1,4
12/7/2012,140.5,142.25,140.1,142.1,9
12/6/2012,140.45,140.45,140.45,140.45,6
12/5/2012,140.2,140.2,139.25,139.6,6
12/4/2012,138.9,138.9,137.35,137.35,17
12/3/2012,140.1,142,140.1,141.7,19
11/30/2012,146.65,146.65,141.35,142.1,18
11/29/2012,146.65,148.15,144.5,146.15,11
11/28/2012,138.25,144.7,137.35,144.65,46
